Adres;PC;Huisnummer;Toevoeging;Wijk;Aannemer;Contactpersoon;Datum_aanvraag;Soort;nb_hoogte
Parkstraat;3854 VS;138;;Tweede Daalsebuurt en omgeving;Parallelbouw B.V.;R. van der Linden;28/02/2020;Gevelrenovatie;25,6
Kolfstraat;2026 KN;131;A;Papendorp;Markus C en J en Zn B.V.;C. Koning;28/03/2016;Boomkap;32
Mauritsstraat;7778 LD;84;;Lunetten-Zuid;Zweeds-Home Nederland;I. Janssen;19/09/2015;Verwijderen stal;12,8
Leeuwstraat;3537 HQ;57;;Papendorp;Van Campen Bouwgroep B.V.;V. Gerritsen;18/05/2016;Stal;38,4
Croeselaan;3385 TP;70;;Schildersbuurt;van Leur Groep Utrecht;B. de Bruin;03/03/2016;Gevelrenovatie;32
Pieter Saenredamstraat;5435 VQ;82;A;Ondiep;Beens Groep Aannemer Weg en Waterbouw;C. de Jonge;29/11/2016;Nieuwbouw;32
Huppeldijk;6214 LF;64;;Papendorp;Bevelander Timmer- & Bouwbedrijf J;T. Timmermans;04/02/2020;Boomkap;38,4
Merwedekade;5317 BK;64;;Tuindorp-Oost;Heijneman Bouw B.V.;L. van der Heijden;25/12/2016;Schuur;19,2
Gerard Doustraat;5399 LY;141;;Kanaleneiland-Noord;Voeg en Renovatiebedrijf MG;J. Molenaar;21/07/2019;Nieuwbouw;25,6
Kovelaarsdijk;7698 OP;143;A;Lombok-West;Van den Heuvel Aannemingsbedrijf B.V.;J. de Wit;22/02/2015;Gevelrenovatie;19,2
Stadhuisbrug;8121 DP;95;D;Strijkviertel;Broers Bouwbedrijf;Q. de Graaf;03/06/2020;Dakkapel;38,4
Piet Heinstraat;4916 BV;133;;Schildersbuurt;Lankveld Bouwbedrijf;K. de Lange;01/10/2015;Schuur;9,6
Eikstraat;5573 FI;118;;Watervogelbuurt;Allround Painters B.V.;K. Bos;24/02/2018;Stal;16
Wolfstraat;4158 NL;36;D;Bokkenbuurt;Heech Boubedriuw;J. van der Meer;12/06/2016;Verwijderen stal;28,8
Laurens Reaalstraat;8751 DC;42;;Bokkenbuurt;Aannemingsbedrijf Janssen-Groesbeek B.V.;N. van de Brink;16/10/2018;Nieuwbouw;28,8
Kollewijsteeg;5698 GZ;101;C;Pijlsweerd-Zuid;De Haas Bouw en Aannemingsbedrijfj J;Y. Hoekstra;12/04/2016;Aanbouw;12,8
Lakmoessteeg;8057 HZ;96;;Kanaleneiland-Zuid;Nanterre Bouw;O. de Ruiter;21/05/2020;Schuur;19,2
Zakkendragersteeg;1025 JO;80;;Bloemenbuurt;Rietdijk Onderhoud B.V.;W. Verhoeven;13/08/2018;Boomkap;12,8
Trans;1717 WD;6;;Transwijk-Noord;Bouwbedrijf Timmerman BV;P. Bosch;30/05/2018;Boomkap;12,8
Achter Clarenburg;8808 LR;27;;Bokkenbuurt;Zwaag Totaalonderhoud;N. van de Meer;31/07/2015;Nieuwbouw;35,2
Goudsbloemstraat;5755 MS;1;;Kanaleneiland-Zuid;All-Bouw Zaanstad;P. Kramer;09/06/2015;Schuur;22,4
Pieter Bothstraat;6070 FY;8;;Nieuw Hoograven;Bouw 2000 B.V.;P. Vos;16/10/2019;Schuur;22,4
Willemstraat;1398 JY;120;A;Oudwijk;Kuipers- en Koers bouw;R. van der Linden;12/10/2017;Dakkapel;38,4
Ridderschapstraat;5916 LG;90;;Dichterswijk;Bouwbedrijf Stomps B.V.;J. de Graaf;07/12/2017;Aanbouw;16
Schoonhuispoort;9065 FI;98;A;Pijlsweerd-Noord;J & D Bouwbedrijf;B. van den Broek;17/05/2018;Gevelrenovatie;9,6
Jansdam;4039 GW;99;A;Geuzenwijk;Hegeman Beheersmaatschappij B.V.;K. van der Pol;16/04/2018;Nieuwbouw;22,4
Nachtegaalstraat;6521 BM;69;;Bedrijvengebied Overvecht;HABO GWW B.V.;C. Smits;03/06/2020;Verwijderen stal;32
Herman Saftlevenstraat;2670 LT;140;;Transwijk-Zuid;Alba Vochtwering BV;R. van de Brink;13/12/2016;Dakkapel;28,8
Nachtegaalstraat;9611 CQ;108;;Ondiep;DOVER Verkeersmaatregelen;U. van den Berg;11/08/2015;Verwijderen stal;32
Kraanstraat;9032 RQ;7;;Vogelenbuurt;Parallelbouw B.V.;Q. Mol;13/09/2017;Stal;25,6
Amaliastraat;4092 JD;97;B;Watervogelbuurt;Hecon Bouwgroep;A. de Wit;22/04/2017;Gevelrenovatie;22,4
Nicolaas Beetsstraat;2333 CC;83;D;Schildersbuurt;Hummelink Bouw;H. Koning;23/04/2017;Boomkap;6,4
Bremstraat;9255 OA;122;;Tuinwijk-West;HDM Totaalbouw;S. Hofman;04/04/2018;Dakkapel;16
Domtrans;3057 KD;66;;Transwijk-Noord;vdBergHellendoorn aannemersbedrijf b.v.;V. Dijkstra;10/09/2015;Gevelrenovatie;28,8
Gildstraat;4454 PG;94;B;Transwijk-Noord;Rietdijk Onderhoud B.V.;Y. Bosch;21/09/2016;Schuur;19,2
Schroeder van der Kolkstraat;2169 AY;7;;Pijlsweerd-Zuid;Heerkens van Bavel Bouw B.V.;B. van den Berg;17/04/2019;Verwijderen stal;9,6
Kleine Singel;3635 ON;148;B;Bedrijvengebied Overvecht;MPO Vastgoed B.V.;V. Prins;21/02/2015;Boomkap;16
Zandpad;3461 FX;41;;Pijlsweerd-Noord;Aannemingsmaatschappij Jellema B.V.;B. Bakker;10/04/2017;Boomkap;22,4
Landstraat;7015 WN;40;;Lombok-West;Klein Gunnewiek Bouwbedrijf;V. van Veen;16/02/2019;Dakkapel;38,4
Hoogravenschedijk;1935 UV;102;A;Watervogelbuurt;Vedder B.V.;X. Maas;22/04/2019;Nieuwbouw;12,8
Waterstraat;5502 GV;99;;Strijkviertel;De Bouwhorst B.V.;D. Postma;26/03/2016;Verwijderen stal;19,2
Raamsteeg;8390 WP;7;;Transwijk-Noord;vd Velden P H;E. Verhoeven;21/12/2019;Dakkapel;32
Adelaarstraat;4901 GT;42;D;Geuzenwijk;ASK-Romein B.V.;T. de Jong;25/02/2020;Nieuwbouw;6,4
Hanengeschrei;2965 JD;102;A;Bedrijvengebied Overvecht;Van Leeuwens bouwbedrijf;P. Scholten;24/12/2018;Dakkapel;28,8
Valkstraat;3142 AM;83;;Lombok-West;Aannemersbedrijf Lagerberg BV;O. Veenstra;14/02/2020;Aanbouw;16
Wagendwarsstraat;2587 WK;86;;Bloemenbuurt;Bouw en Ontwikkeling du Prie B.V.;M. Kuipers;18/01/2016;Aanbouw;38,4
Oudwijkerveldstraat;2431 PW;142;;Langerak;LiemersBouw BV;N. Meijer;01/03/2016;Dakkapel;9,6
Neude;8085 OH;31;;Buurtnaam;Budmax;J. van de Berg;04/07/2015;Gevelrenovatie;32
Goedestraat;9983 OP;10;;Ondiep;Traas en Ovaa Infra B.V.;Z. Smits;03/01/2019;Nieuwbouw;16
Klaverstraat;6363 GK;82;C;Bokkenbuurt;Aannemer Steven Konijn;O. Kuijpers;02/11/2018;Schuur;25,6
Amaliastraat;2497 BG;35;C;Rivierenwijk;Wagemakers Bouwbedrijf B.V.;J. Willemsen;23/10/2015;Schuur;6,4
Minstraat;9439 SY;113;;Tweede Daalsebuurt en omgeving;AlexWater&Bouw;C. van Loon;25/11/2016;Nieuwbouw;25,6
Buurkerksteeg 2e;9673 YB;27;D;Tweede Daalsebuurt en omgeving;Aannemingsbedrijf F W Kuypers B.V.;O. van Veen;02/01/2015;Aanbouw;25,6
Lamstraat;6383 YB;78;;Oud Hoograven;Bouw en aannemingsbedrijf Zwaluwe B.V.;I. Meyer;29/04/2018;Boomkap;28,8
Zeedijk;8117 II;74;;Oudwijk;Rudolphie Aannemersbedrijf R R;S. Gerritsen;16/10/2015;Dakkapel;16
Donkere Gaard;2026 JV;40;;Bokkenbuurt;UDB Bouwservice;R. van den Velden;21/03/2017;Boomkap;25,6
Oude Daelstraat;4032 YZ;105;C;Kanaleneiland-Zuid;De Jong Bouwbedrijf P R;L. Blom;09/08/2018;Boomkap;9,6
Tiendstraat;3123 EW;65;B;Zuilen-Noord;Factotum B.V.;B. van der Velden;15/10/2019;Gevelrenovatie;32
Grasstraat;2696 RW;49;C;Tuindorp-Oost;SBC Aannemers B.V.;D. de Bruijn;15/12/2017;Verwijderen stal;12,8
Hooipoort;7705 WS;69;C;Langerak;vd Broek Bouwbedrijf;P. Hermans;12/05/2018;Aanbouw;22,4
Pieterstraat;2217 SC;74;;Oudwijk;Aannemersbedrijf Gerrits Gendt BV.;C. Smeets;17/02/2015;Verwijderen stal;12,8
Lange Hartsteeg;6602 CM;49;;Sterrenwijk;A & E Kabel Bouwbedrijf B.V.;O. Huisman;16/07/2016;Aanbouw;16
Buurkerksteeg 1e;8738 WW;84;;Lombok-West;Prive Kantoor;H. Molenaar;04/03/2016;Stal;38,4
Lucas Bolwerk;8288 AG;73;;Strijkviertel;Bouten Bouwbedrijf B.V.;W. Driessen;06/03/2016;Aanbouw;25,6
Nicolaas Beetsstraat;6800 ZY;11;;Lombok-Oost;Tadema Bouwbedrijf B.V.;E. Smit;07/07/2019;Dakkapel;16
Boothstraat;7013 QD;1;;Bedrijventerrein Lageweide;UDB Bouwservice;Z. van de Meer;05/04/2018;Verwijderen stal;28,8
Kievitdwarsstraat;4618 NX;63;A;Watervogelbuurt;Henzen-Specialistische-Diensten ;H. Schouten;02/06/2017;Verwijderen stal;38,4
Ramstraat;6237 KU;49;;Bedrijventerrein Lageweide;EP Bouwbedrijf;C. Hoekstra;19/12/2017;Dakkapel;38,4
Visscherssteeg;5165 TG;97;;Vogelenbuurt;Zwaag Totaalonderhoud;U. Smeets;21/06/2016;Gevelrenovatie;38,4
Heemskerkstraat;6257 RS;8;;Vogelenbuurt;HABO GWW B.V.;M. Peeters;12/06/2018;Dakkapel;38,4
Balistraat;4459 RA;16;C;Zuilen-Noord;Berkhout Bouw;Y. Jacobs;28/06/2019;Gevelrenovatie;25,6
Gildstraat;9946 TK;28;B;Pijlsweerd-Noord;Klussenbedrijf Ko Mes;R. Jacobs;11/08/2017;Dakkapel;28,8
Jacobskerkhof;2821 AY;66;A;Bedrijvengebied Overvecht;Plegt-Vos Geelen B.V.;J. Willemsen;18/05/2018;Schuur;38,4
Driesprong;1881 ZX;87;;Vogelenbuurt;Huisman Bouw B.V.;C. Hofman;14/02/2019;Nieuwbouw;38,4
Kromme Rijn;6562 JH;70;;Ondiep;Bouwbedrijf G.M. van Rooij B.V.;Z. van der Velde;09/05/2019;Aanbouw;22,4
Palmstraat;7477 KO;41;;Papendorp;Hoffmans & Zn VOF Bouwbedrijf;Y. de Lange;08/09/2017;Boomkap;6,4
Militaire Weg;3499 JI;94;;Schildersbuurt;Bouwklusbedrijf;N. van Dijk;18/04/2017;Gevelrenovatie;22,4
Krommerijnstraat;5740 QJ;10;;Tweede Daalsebuurt en omgeving;Dura Vermeer Bouw Ede B.V.;G. Bakker;26/11/2017;Boomkap;25,6
Ravensteeg;8806 TR;78;C;Papendorp;J G Appelman B.V.;G. Smeets;22/01/2019;Aanbouw;19,2
Dondersstraat (F.C.);3149 PT;15;A;Terwijde;Wijen Bouwbedrijf T;V. Koster;13/07/2018;Verwijderen stal;19,2
Singeldwarsstraat;5600 PB;25;C;Lunetten-Zuid;Spee Aannemingsbedrijf B.V.;F. Scholten;14/03/2018;Dakkapel;38,4
Fockstraat;9694 IN;27;D;Kanaleneiland-Zuid;Broers Bouwbedrijf;T. van der Wal;07/06/2017;Nieuwbouw;35,2
Buys Ballotstraat;8738 DV;118;;Zuilen-Noord;Nieuwenhuizen ;E. Kramer;14/03/2020;Nieuwbouw;38,4
Fockstraat;7529 GF;140;;Zuilen-Noord;C J vd Noort & Zn B.V.;A. van den Bosch;17/12/2016;Gevelrenovatie;12,8
Lanceepoort;5453 CU;15;;Rivierenwijk;Van Berkel Aannemers Leimuiden BV;C. de Groot;01/02/2015;Dakkapel;6,4
Billitonstraat;7404 EJ;80;;Transwijk-Zuid;Dura Vermeer Bouw Ede B.V.;Q. van den Broek;12/02/2019;Aanbouw;38,4
Raamsteeg;4939 UA;106;;Bedrijvengebied Overvecht;Prive Kantoor;D. van der Veen;12/10/2019;Schuur;38,4
Oudkerkhof;1377 DC;88;;Bedrijvengebied Overvecht;Bouwbedrijf vd Horst B.V.;Q. Jacobs;26/03/2018;Boomkap;32
Schoolstraat;6958 MV;75;D;Geuzenwijk;Parallelbouw B.V.;O. Willems;28/04/2017;Verwijderen stal;16
Spiegelpoort;2056 OT;81;A;Transwijk-Zuid;Verkammen Aannemers- en Timmerbedrijf W;E. Willems;15/11/2016;Boomkap;6,4
Wagenstraat;5159 BM;57;;Tweede Daalsebuurt en omgeving;Aannemingsbedrijf Project Rotterdam B.V.;I. Evers;16/07/2015;Schuur;25,6
Muntstraat;7249 YF;58;;Pijlsweerd-Zuid;Somass Bouwbedrijf B.V.;K. Molenaar;02/05/2015;Schuur;35,2
Achterstraat 1e;1825 QK;11;;Sterrenwijk;ELBERSE BOUWBEDRIJF B.V.;D. de Leeuw;12/10/2016;Nieuwbouw;19,2
Joan van Oldenbarneveldtlaan;9647 BR;78;;Hogeweide;Martens Aannemingsbedrijf B.V.;L. van de Pol;24/02/2016;Schuur;19,2
Munsterkerkhof;7548 BB;150;;Sterrenwijk;Bouwonderneming De Veluwezoom B.V.;L. Meijer;30/01/2019;Boomkap;28,8
Willem Barentzstraat;1629 PA;109;;Bedrijventerrein Lageweide;Rentmeester Bouwbedrijf-Bouwmarkt S;I. Wolters;26/08/2018;Boomkap;6,4
Vaartschestraat;3022 BG;29;;Kanaleneiland-Zuid;Koertse Bouw en Onderhoud C;R. Verhoeven;08/11/2015;Boomkap;16
Vlijtstraat;7042 LO;14;;Zuilen-Noord;KEMO Vochtwering;H. de Leeuw;27/01/2017;Boomkap;38,4
Hofsteeg;9438 YF;18;D;Oud Hoograven;Van den Heuvel;K. Kuiper;23/06/2015;Stal;22,4
Lindestraat;9715 FF;85;;Staatsliedenbuurt;Kok Lexmond B.V.;V. van der Laan;03/10/2017;Boomkap;9,6
Stationsstraat;8632 FM;89;;Strijkviertel;Zandspuiten.nl;T. Vink;15/11/2018;Boomkap;9,6
Nauwe Blindesteeg;4097 MK;33;C;Buurtnaam;Bouwaf aannemer;F. van de Pol;23/02/2016;Gevelrenovatie;25,6
Schoonhuispoort;7845 KH;5;D;Lombok-West;Aannemersbedrijf Jonker;Q. van der Meulen;13/11/2017;Dakkapel;19,2
Poortstraat;2126 DS;118;;Oud Hoograven;van Braam-Minnesma VOF Bouwers;K. van den Berg;13/05/2018;Aanbouw;35,2
Domsteeg;8580 YK;9;C;Bedrijventerrein Lageweide;Aannemersbedrijf Nieuwenhuizen B.V.;J. Willemsen;05/10/2018;Aanbouw;6,4
Zuilenstraat;6322 RU;133;D;Lunetten-Zuid;Rooy Ehv.BV Bouwbedrijf E.van;F. Kuypers;07/06/2018;Nieuwbouw;22,4
Kollewijsteeg;5458 SO;135;C;Transwijk-Noord;Lieftink Geveltechniek BV;T. Molenaar;16/09/2015;Gevelrenovatie;38,4
Lageweidsche dijk;8038 FR;67;;Dichterswijk;A & E Kabel Bouwbedrijf B.V.;W. Jacobs;11/04/2015;Nieuwbouw;6,4
Tuchthuisstraat;9325 HA;128;;Strijkviertel;Bijlbouw B.V.;B. Vos;01/02/2016;Boomkap;6,4
Flieruilensteeg;9406 QJ;95;;Dichterswijk;Koers Bouw;M. de Boer;21/05/2019;Gevelrenovatie;16
Wijde Doelen;2229 HX;30;;Tuinwijk-West;Bouw- en Handelsmij Van Wingerden B.V.;I. Schipper;30/09/2019;Dakkapel;35,2
Valkstraat;1508 HQ;19;D;Vogelenbuurt;Corstjens Aannemersbedrijf VOF J C G;K. van der Meer;07/02/2020;Gevelrenovatie;6,4
Lekstraat;5641 BM;97;;Watervogelbuurt;ASK-Romein B.V.;X. van der Velde;16/05/2019;Nieuwbouw;25,6
Tulpstraat;2440 NJ;135;;Terwijde;van Bruggen Aannemersbedrijf;O. Brouwer;18/01/2016;Aanbouw;9,6
Baanstraat;4919 QL;50;;Papendorp;Wielhouwer Aannemersbedrijf B.V.;Y. Vermeulen;02/05/2018;Schuur;6,4
Heerenhofje;6360 AY;89;;Papendorp;ABB BOUW B.V.;I. Janssen;11/10/2018;Dakkapel;16
Diaconessenstraat;9040 PQ;80;;Ondiep;Bruil Bouwbedrijf Ede B.V.;V. de Lange;05/10/2019;Aanbouw;6,4
Westravenstraat;9777 AJ;118;D;Bloemenbuurt;Aannemingsmaatschappij Jellema B.V.;K. Willems;27/01/2019;Stal;12,8
Catharijnesingel;8821 QD;42;;Papendorp;B.A.B.S. afbouw;S. de Wit;14/01/2015;Boomkap;35,2
Kievitdwarsstraat;1318 PM;88;;Bedrijventerrein Lageweide;Bouwbedrijf Pennings B.V.;B. Jonker;21/02/2015;Gevelrenovatie;16
Bem. Weerd OZ;2353 UR;26;;Papendorp;Derksen Stukadoors;F. Dijkstra;20/01/2017;Verwijderen stal;25,6
Eikenboomstraat;9945 TG;15;;Lunetten-Noord;De BEER bouwbedrijf;S. Schipper;29/03/2019;Gevelrenovatie;9,6
Kruisdwarsstraat;2508 UY;73;;Oud Hoograven;Vedder B.V.;D. Schipper;03/07/2016;Aanbouw;6,4
Antoniedijk;4342 PY;110;C;Bloemenbuurt;Gils Bouwservice en Onderhoud B.V.;L. Dijkstra;18/10/2015;Gevelrenovatie;12,8
Lamstraat;3468 DI;22;;Hogeweide;Aannemersbedrijf vd Voort;U. van der Velde;21/07/2016;Schuur;12,8
Achterstraat 2e;7086 QQ;72;;Terwijde;A.Maas Bouw B.V.;W. Driessen;03/05/2018;Boomkap;28,8
Cellebroederstraat;3633 KP;94;;Papendorp;BMU Groep Bouw & Onderhoud;G. Postma;30/12/2015;Schuur;6,4
Begijnekade;6394 EH;68;;Rivierenwijk;Norbert Schwarte Bau B.V.;D. Scholten;29/06/2015;Boomkap;9,6
Bleekstraat;1217 EI;91;;Schildersbuurt;Rietdekkersbedrijf Van Ginkel;E. van der Meer;07/04/2017;Stal;16
Lijnpadsteeg;3183 UX;122;;Tuindorp-Oost;Aannemingsbedrijf Van Driel B.V.;L. van der Linden;08/05/2017;Verwijderen stal;22,4
Oudegracht (Weerd);2696 TA;100;;Pijlsweerd-Zuid;Aannemers J J vd Speld en Zn B.V.;I. Driessen;07/06/2018;Schuur;32
Jacobsplein;8511 AE;1;;Sterrenwijk;Lingewaal B.V.;P. Post;27/07/2017;Nieuwbouw;28,8
Predikheerenstraat;6370 TR;22;;Papendorp;Bouwklusbedrijf;Q. de Bruin;18/02/2016;Verwijderen stal;12,8
Westerdijk;1569 SI;100;B;Terwijde;Aannemersbedrijf Meeusen en Zn B.V.;V. Gerritsen;26/02/2018;Boomkap;16
Bladstraat;9012 YR;66;;Molenbuurt;Aannemersbedrijf Grijzenhout B.V.;S. Boer;30/04/2015;Dakkapel;38,4
Plompetorenbrug;3920 AX;77;;Staatsliedenbuurt;W Hartman & Zn B.V.;D. Dekker;29/03/2020;Aanbouw;9,6
Achterstraat;7934 WF;96;D;Oudwijk;Tommaat BV;E. van der Wal;16/11/2016;Stal;22,4
Bem. Weerd WZ;9979 YM;4;;Transwijk-Zuid;Kramer's Bouwbedrijf B.V.;Q. van der Heijden;25/02/2019;Dakkapel;9,6
Renstraat;2382 KM;115;;Transwijk-Noord;Klussenbedrijf Ko Mes;E. de Koning;02/03/2015;Verwijderen stal;16
Muntsteeg;3841 GC;109;;Rivierenwijk;Veldwachter Aannemersbedrijf B.V.;Q. de Ruiter;23/06/2019;Dakkapel;16
Weerdsingel O.Z.;8722 PT;22;;Bloemenbuurt;H ter Haar B.V.;K. Schipper;05/05/2016;Gevelrenovatie;32
Zoutmarkt;3932 CI;96;;Tweede Daalsebuurt en omgeving;Hecon Bouwgroep;U. Martens;02/02/2015;Dakkapel;22,4
Kwartelstraat;3983 VO;3;;Oudwijk;Aannemingsbedrijf Cornelissen B.V.;D. Meyer;28/07/2016;Verwijderen stal;35,2
Andreasstraat;4584 UQ;89;C;Buurtnaam;Broens Bouwbedrijf;Y. Bos;06/10/2016;Dakkapel;9,6
Geertebolwerk;6286 YL;6;;Langerak;Aannemingsbedrijfvisser;R. de Bruijn;27/06/2019;Boomkap;35,2
Korte Jansstraat;6128 QH;3;B;Vogelenbuurt;Minibouw;C. Jansen;22/06/2017;Boomkap;16
Adelaarstraat;8781 GA;42;;Schildersbuurt;van Bouwbedrijf Geresteijn;Y. van der Meulen;25/09/2018;Stal;35,2
Nauwe Watersteeg;2691 FL;28;;Sterrenwijk;Tankens Andel B.V.;V. Veenstra;28/06/2015;Gevelrenovatie;28,8
Grave van Solmsstraat;3321 CQ;51;C;Bedrijventerrein Lageweide;Wijen-Bouw B.V.;H. Schipper;14/01/2015;Aanbouw;19,2
Fabriekstraat;9867 ZU;94;;Papendorp;Allround Painters B.V.;P. van der Horst;22/05/2019;Dakkapel;32
Drakenburgsteeg;3220 GM;10;;Kanaleneiland-Zuid;Claassen Bouwbedrijf A;N. de Haan;31/08/2019;Nieuwbouw;38,4
Vleutensche Weg;2965 GD;128;A;Oud Hoograven;Kusters Bouwbedrijf B.V.;E. de Bruijn;09/01/2019;Gevelrenovatie;9,6
Vischmarkt;8977 OL;33;;Buurtnaam;Vios Bouw en Onderhoud Amsterdam B.V.;H. de Bruyn;28/11/2016;Schuur;35,2
Hamburgerstraat;1973 XV;76;;Kanaleneiland-Noord;Van Santen & zn B.V.;C. van Dam;23/11/2015;Boomkap;38,4
Nauwe Blindesteeg;9076 IS;44;;Nieuw Hoograven;van Dijk Bouwbedrijf;J. Molenaar;04/12/2016;Nieuwbouw;38,4
Oosterkade;7527 PL;112;;Transwijk-Noord;Obdeijn B.V.;P. Schipper;24/09/2016;Schuur;22,4
Graanstraat;9408 VE;60;;Papendorp;Traas en Ovaa Infra B.V.;Z. de Haan;15/04/2019;Gevelrenovatie;9,6
Westerkade;3095 RU;57;;Ondiep;Bouwbedrijf WESTLAND constructions BV;Y. de Bruijn;31/10/2016;Gevelrenovatie;28,8
Hoog Glagenweerd;4428 LE;36;;Papendorp;Bouwmaatschappij Visser en Mol B.V.;D. Huisman;11/10/2016;Stal;32
Singelsteeg;4223 YK;96;;Bedrijventerrein Lageweide;Horst Klein- en Verbouw;V. van Leeuwen;31/03/2016;Dakkapel;16
Kleine Slachtsteeg;9068 QY;42;;Bedrijvengebied Overvecht;Florijn & Zn Fa A;Q. de Bruyn;16/11/2017;Gevelrenovatie;32
Gietershof;1176 FJ;82;;Terwijde;Bouwbedrijf Hissel;U. Hofman;15/03/2015;Nieuwbouw;32
Veldstraat;8489 YN;37;;Hogeweide;Budmax;X. de Bruin;03/02/2020;Aanbouw;35,2
Singeldwarsstraat;3813 BE;18;;Transwijk-Noord;Aannemersbedrijf J. van Dijk v.o.f.;V. van den Pol;22/11/2018;Aanbouw;32
Soendastraat;5169 AA;144;A;Sterrenwijk;A Huurdeman Bouwbedrijf B.V.;N. Peeters;24/03/2016;Verwijderen stal;16
Pelmolenweg;3019 EQ;142;A;Tuinwijk-Oost;Joh van Herk Aannemingsmaatschappij B.V.;H. Huisman;08/06/2016;Aanbouw;16
Alendorpsteeg;6159 FY;59;D;Bloemenbuurt;Bouwbedrijf H.Bouwers;T. Molenaar;29/08/2019;Verwijderen stal;38,4
Pausdam;6798 HH;53;;Sterrenwijk;Chrimako B.V.;M. Post;02/12/2019;Nieuwbouw;25,6
Korte Jansstraat;1694 VX;33;;Strijkviertel;AVH Bouw;U. de Bruijn;11/04/2018;Aanbouw;9,6
Laan van Puntenburg;4070 OP;64;;Terwijde;Burgmeijer's Bouwbedrijf B.V.;V. Jacobs;10/12/2019;Dakkapel;25,6
Zeedijk;2318 GZ;71;D;Lombok-Oost;RKB Services;Z. Bosch;08/03/2020;Verwijderen stal;35,2
Vischmarkt;5252 SN;12;;Lombok-Oost;Thermos B.V.;T. Post;03/11/2018;Boomkap;6,4
Ooftstraat;7158 NU;147;B;Transwijk-Zuid;Aannemingsbedrijf C. spek b.v.;G. Schouten;09/01/2015;Schuur;32
Weerdsingel W.Z.;7008 CR;143;;Pijlsweerd-Zuid;Aannemingsbedrijf Blokland;D. Kuipers;05/10/2018;Dakkapel;12,8
Lange Hartsteeg;7470 ZJ;133;C;Langerak;Bouten Bouwbedrijf B.V.;F. Post;25/03/2016;Schuur;32
Flieruilensteeg;1051 GK;29;;Papendorp;Van den Berg Rietdekkers;R. Koster;15/02/2016;Aanbouw;9,6
Arkenspoort;9350 HE;53;;Oud Hoograven;Droste Kleinbouw B.V.;O. de Boer;08/11/2017;Aanbouw;16
Valkstraat;3226 TD;106;;Bedrijventerrein Lageweide;Aannemersbedrijf H J Ruiterkamp B.V.;X. van den Velde;21/08/2015;Dakkapel;32
Singeldwarsstraat;9777 OX;19;;Tuinwijk-Oost;Doensen bouwbedrijf;J. van Wijk;20/09/2018;Stal;28,8
Massegast;5884 KX;62;;Sterrenwijk;Fokker-Oomen B.V.;K. Jonker;09/05/2016;Schuur;38,4
Leidsche Vaart;5258 GV;144;;Dichterswijk;DEBA Vastgoed Onderhoud;T. Jansen;24/03/2016;Gevelrenovatie;28,8
Weerdsingel W.Z.;4804 SW;28;;Hogeweide;KoningBouw;E. Hermans;09/11/2018;Aanbouw;19,2
Lombardpoort;4230 KS;138;;Lombok-West;Home Solution;C. Driessen;23/01/2020;Dakkapel;12,8
Bijlhouwerstraat;9803 WV;71;;Bedrijvengebied Overvecht;Braakman & Pannekoek VOF;E. Kramer;15/10/2017;Verwijderen stal;16
Sionskameren;6067 IT;53;;Strijkviertel;BOUWBEDRIJF BOSSENBROEK ELSPEET;D. van der Pol;22/07/2017;Schuur;35,2
Hoogeland;3437 AQ;10;D;Kanaleneiland-Noord;Knol Bouw B.V.;C. Smeets;15/12/2019;Stal;6,4
Begijnesteeg 2e;8322 EN;12;A;Geuzenwijk;Snijders Bouw B.V.;Y. Smit;18/03/2015;Nieuwbouw;35,2
Jacobijnestraat;5048 DE;113;;Transwijk-Zuid;Rowebo Aannemersbedrijf;O. Jansen;25/03/2017;Verwijderen stal;16
Paijenborgsteeg;8514 JV;97;B;Buurtnaam;Bouwbedrijf van Rhenen;F. Maas;04/09/2015;Boomkap;32
Molenwerfsteeg;3714 JS;88;;Tweede Daalsebuurt en omgeving;Kemper Bouwbedrijf;P. Willems;12/06/2017;Nieuwbouw;32
Hoogelanden OZ;8671 WP;142;;Tuinwijk-Oost;Rolvink Bouw B.V.;U. Bakker;11/02/2015;Gevelrenovatie;19,2
Lange Smeestraat;3027 AN;100;;Hogeweide;Kramer's Bouwbedrijf B.V.;Q. Brouwer;10/11/2017;Schuur;32
Sionskameren;2103 WW;105;;Molenbuurt;Aanpak Bouwservice;A. Evers;13/05/2015;Aanbouw;25,6
Werfsteeg;1955 SZ;137;;Staatsliedenbuurt;KMK Services Renovatie & Verbouwing;Z. Schipper;26/04/2019;Aanbouw;32
Zuilenstraat;5091 QE;17;;Geuzenwijk;Hegeman Bouw Partners B.V.;R. van den Velde;24/05/2015;Stal;12,8
Lange Elisabethstraat;1609 VH;127;;Hogeweide;Bouw en Ontwikkeling du Prie B.V.;F. Peeters;15/02/2018;Dakkapel;16
Voorstraat;1328 RH;59;;Tuinwijk-Oost;KMK Services;V. van den Broek;01/01/2020;Boomkap;32
Takstraat;1870 LR;30;;Staatsliedenbuurt;Bouwbedrijf Krijger BV;K. Vermeulen;01/10/2017;Dakkapel;28,8
Stroomkade;6895 MV;96;;Molenbuurt;Bouwbedrijf G Rook B.V.;A. Hofman;28/11/2019;Nieuwbouw;35,2
Wagendwarsstraat;9416 NU;148;;Geuzenwijk;Bouwbedrijf Marton B.V.;K. van Veen;22/10/2016;Nieuwbouw;12,8
